"","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"
"Poland","6.3","6.2","6.4","6.2","6.2","6.4","6.6","6.4","5.9","5.8","5.8","5.9","6.0","6.1","5.7","5.3"
"Portugal","9.0","9.0","9.1","9.3","9.5","9.8","9.9","9.4","9.1","9.1","9.4","9.3","8.9","8.6","8.4","8.4"
"Qatar","3.1","2.4","2.1","1.7","1.6","1.8","2.1","1.6","2.0","2.2","2.6","3.1","3.5","2.5","2.3","2.0"
"Republic of Korea","7.4","7.1","6.9","6.7","6.6","6.5","6.4","5.8","5.7","5.5","5.1","4.8","4.8","4.4","4.5","4.0"
"Republic of Moldova","10.2","10.3","10.3","10.9","10.9","12.2","13.7","11.0","11.0","10.5","9.6","9.0","7.0","7.1","6.1","5.8"
"Romania","5.0","5.0","5.2","4.7","4.7","5.7","5.5","5.2","5.1","5.0","5.5","5.4","5.2","4.6","4.3","4.2"
"Russian Federation","5.6","5.7","5.5","5.3","5.1","5.3","5.9","5.2","5.1","5.1","5.1","5.1","5.5","5.9","5.6","5.4"
"Rwanda","7.9","8.2","7.9","8.5","8.9","9.3","9.2","8.7","8.7","8.3","7.5","7.4","7.6","4.4","4.4","4.6"
"Saint Kitts and Nevis","5.6","5.7","5.6","5.7","5.7","5.7","5.7","5.5","5.2","5.4","5.1","5.1","5.0","4.7","4.6","4.8"
"Saint Lucia","6.0","5.8","7.3","6.9","6.9","6.6","6.2","6.1","6.0","5.4","5.6","5.5","5.5","5.6","5.4","4.9"
"Saint Vincent and the Grenadines","4.2","4.2","4.4","4.5","4.3","4.4","4.0","3.9","3.6","3.5","3.7","3.8","4.0","4.0","3.7","3.8"
"Samoa","5.6","6.0","6.1","4.9","5.4","5.3","5.7","4.8","4.4","5.6","5.2","5.1","4.7","5.7","5.0","5.5"
"San Marino","6.8","6.9","7.0","7.1","6.5","5.8","5.4","4.7","4.5","4.3","4.1","4.3","4.2","4.8","5.0","5.1"
"Sao Tome and Principe","9.8","8.9","9.1","7.3","5.5","5.3","7.2","4.9","6.6","6.9","12.1","11.5","13.1","11.5","12.6","9.7"
"Saudi Arabia","5.8","5.1","4.4","3.9","3.6","3.5","4.1","2.9","3.5","3.5","3.4","3.6","4.0","4.3","4.5","4.2"
"Senegal","4.0","3.9","3.8","3.8","3.9","4.0","4.2","4.3","4.1","4.6","4.6","5.6","5.4","5.1","5.0","4.6"
"Serbia","9.4","9.8","9.9","9.9","9.7","10.1","9.9","10.1","10.0","9.0","8.7","8.2","8.1","8.1","6.9","6.5"
"Seychelles","3.4","3.4","3.5","4.4","3.5","3.6","2.6","2.6","3.3","3.7","3.9","4.3","4.7","4.2","4.4","4.6"
"Sierra Leone","18.3","19.7","11.6","8.9","10.6","9.2","9.9","9.1","8.9","9.2","9.8","9.8","9.6","10.0","9.6","9.9"
"Singapore","4.3","3.9","3.7","3.4","3.2","3.2","3.4","3.2","2.9","3.0","3.0","3.2","3.6","3.4","3.2","3.4"
"Slovakia","6.9","6.9","7.5","7.6","7.4","7.8","8.0","7.0","7.2","6.9","6.6","6.5","5.5","5.5","5.3","5.3"
"Slovenia","8.5","8.5","8.8","8.7","8.5","8.6","8.6","7.8","7.5","7.8","8.0","7.9","8.1","8.0","7.9","7.8"
"Solomon Islands","8.0","8.4","6.8","9.3","7.5","7.4","7.9","8.1","8.7","9.1","10.1","8.5","7.9","8.7","9.0","5.8"
"Somalia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"South Africa","8.2","7.9","7.7","7.8","7.5","7.4","7.1","6.5","6.4","6.6","6.7","6.8","6.9","6.9","7.5","7.4"
"South Sudan","2.5","2.1","2.1","2.6","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Spain","9.2","9.1","9.0","9.1","9.1","9.0","9.0","8.3","7.8","7.8","7.7","7.6","7.5","6.8","6.8","6.8"
"Sri Lanka","3.0","2.8","2.8","2.6","2.9","3.0","3.7","3.5","3.6","3.7","3.8","3.9","3.7","3.9","4.1","4.1"
"Sudan","6.3","5.3","6.3","5.3","6.1","5.3","5.8","5.8","6.0","4.9","4.1","4.2","3.9","3.3","3.4","3.6"
"Suriname","6.5","5.8","5.7","5.7","5.6","5.4","5.8","5.8","5.6","6.3","7.7","8.0","8.0","8.3","6.8","8.4"
"Swaziland","7.0","7.2","7.3","7.4","8.5","8.2","7.1","7.3","6.3","6.2","5.9","5.0","4.8","4.6","4.5","4.6"
"Sweden","11.0","11.1","11.1","10.9","10.7","8.5","8.9","8.3","8.1","8.2","8.3","8.3","8.5","8.4","8.0","7.4"
"Switzerland","12.1","11.6","11.4","11.1","10.8","10.7","10.4","9.8","9.6","9.8","10.3","10.4","10.4","10.1","9.7","9.3"
"Syrian Arab Republic","No data","No data","No data","3.6","3.3","3.4","3.5","3.4","3.7","3.8","4.1","4.5","5.1","4.9","4.7","4.6"
"Tajikistan","6.9","6.7","6.3","6.0","6.0","5.8","5.9","5.9","5.5","5.0","5.2","4.8","4.7","4.2","4.3","4.3"
"Thailand","3.8","3.7","3.5","3.5","3.8","3.6","3.9","3.7","3.4","3.3","3.4","3.4","3.5","3.5","3.2","3.2"
"The former Yugoslav republic of Macedonia","6.1","6.2","6.5","6.4","6.6","7.0","7.0","7.0","7.0","8.1","8.4","8.9","9.6","8.6","3.7","3.9"
