"Asset values and income are colored to denote the change in value from the previous year's filing (increase, decrease, no change)
",,,,,,,,,,,,,,,,,,,,,,,
2017_ID #,New 2017 Asset,2017_Page,2017_Description,2017_Underlying Assets,2017_Location,2017_EIF,2017_attached schedule,2017_Min Value,2017_Max Value,%Change_Value,2016_Min Value,2016_Max Value,2017_Income Type,2017_Min Income,2017_Max Income,2017_Income Exact,%Change_Income,2016_Min Income,2016_Max Income,2016_Income Exact,2016_ID #,2016_Page,2016_Description
52,,18,Trump 106 CPS LLC,bank account,"New York, NY",N/A,234,"$15,001","$50,000",0%,"$15,001","$50,000",,$0,$201,,0%,$0,$201,,52,18,Trump 106 CPS LLC
55,,18,Trump 845 UN MGR Corp,bank account,"New York, NY",N/A,237,"$1,001","$15,000",0%,"$1,001","$15,000",,$0,$201,,0%,$0,$201,,55,18,Trump 845 UN MGR Corp
57,,18,Trump Books LLC The Midas Touch,bank account/book deal,"New York, NY",N/A,243,$0,"$1,000",0%,$0,"$1,000",royalties,"$5,001","$15,000",,-69%,"$15,001","$50,000",,57,18,Trump Books LLC The Midas Touch
59,,18,Trump Carousel LLC,bank account/operating agreement,"New York, NY",N/A,250,"$15,001","$50,000",-81%,"$100,001","$250,000",admissions,,,"$671,728",-5%,,,"$702,961",59,18,Trump Carousel LLC
61,,18,Trump CPS LLC,commercial & residential real estate,"New York, NY",N/A,269,"$25,000,001","$50,000,000",0%,"$25,000,001","$50,000,000",rent/condo sales,"$1,000,001","$5,000,000","$3,170,000",100%,"$1,000,001","$5,000,000",,61,18,Trump CPS LLC
64,,18,Trump National Doral,golf courses & resort,"Miami, FL",N/A,279,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",golf resort related revenues,,,"$115,865,590",-14%,,,"$131,892,107",64,18,Trump National Doral
65,,18,Trump Ferry Point LLC,operating agreement/golf course,"New York, NY",N/A,283,"$5,000,001","$25,000,000",0%,"$5,000,001","$25,000,000",golf related revenue,,,"$7,300,157",-9%,,,"$7,930,134",65,18,Trump Ferry Point LLC
66,,19,Trump Golf Acquisitions LLC,bank account,"New York, NY",N/A,287,"$1,001","$15,000",1500%,$0,"$1,000",golf related revenue,,,"$17,539",-25%,,,"$21,985",66,19,Trump Golf Acquisitions LLC
67,,19,Trump Home Marks LLC,bank account/license deal ,"New York, NY",N/A,291,$0,"$1,000",0%,$0,"$1,000",royalties,"$15,001","$50,000",,-94%,"$100,001","$1,000,000",,67,19,Trump Home Marks LLC
68,,19,Trump Ice LLC,bank account/wholesale company,"New York, NY",N/A,294,"$1,001","$15,000",-75%,"$15,001","$50,000",sales,,,"$396,161",-4%,,,"$413,339",68,19,Trump Ice LLC
69,,19,Trump International Golf Links - Scotland,golf course,"Aberdeen, Scotland",N/A,297,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",golf related revenue,,,"$3,803,033",-28%,,,"$4,880,743",69,19,Trump International Golf Links - Scotland
70,,19,Trump International Golf Club - Florida,golf club,"West Palm Beach, FL",N/A,299,"$25,000,001","$50,000,000",0%,"$25,000,001","$50,000,000",golf related revenue,,,"$18,411,472",5%,,,"$17,510,455",70,19,Trump International Golf Club - Florida
71,,19,Trump International Hotel Hawaii LLC,bank account/management & license agreements,"Waikiki, HI",N/A,300,"$1,001","$15,000",1500%,$0,"$1,000",royalties/management fees,"$100,001","$1,000,000","$2,538,973",5%,"$100,001","$1,000,000","$2,402,462",71,19,Trump International Hotel Hawaii LLC
72,,19,Trump International Hotels Management LLC,management co,"New York, NY",N/A,301,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",management fees,,,"$2,888,093",-17%,,,"$3,383,209",72,19,Trump International Hotels Management LLC
73,NEW,19,Trump Las Vegas Devlopment LLC,develpment deal with Trump Ruffin Tower I LLC,"Las Vegas, NV",N/A,308,"$1,000,001","$5,000,000",,,,development fees,,,"$8,154,142",100%,,,,,,
74,NEW,19,Trump Las Vegas Member LLC,bank account,"Las Vegas, NV",N/A,310,$0,"$1,001",,,,sponser fee,,,"$2,631,300",100%,,,,,,
76,,20,Trump Marks Asia LLC,residential real estate,"Water Park Place, VA",N/A,316,"$500,001","$1,000,000",0%,"$500,001","$1,000,000",,$0,$201,,0%,$0,$201,,76,19,Trump Marks Asia LLC
78,,20,Trump Marks Instanbul II LLC,bank account/license deal ,"New York, NY",N/A,342,"$15,001","$50,000",6400%,$0,"$1,000",royalties,"$1,000,001","$5,000,000",,0%,"$1,000,001","$5,000,000",,78,19,Trump Marks Instanbul II LLC
79,,20,Trump Marks LLC,bank account/license deal ,"New York, NY",N/A,347,"$15,001","$50,000",6400%,$0,"$1,000",royalties,"$50,001","$100,000",,-86%,"$100,001","$1,000,000",,79,20,Trump Marks LLC
80,,20,Trump Marks Matress LLC,bank account/license deal ,"New York, NY",N/A,350,$0,"$1,000",0%,$0,"$1,000",royalties,"$100,001","$1,000,000",,-82%,"$1,000,001","$5,000,000",,80,20,Trump Marks Matress LLC
